name,code,confederation
Afghanistan,AFG,AFC
Australia,AUS,AFC
Bahrain,BHR,AFC
Bangladesh,BAN,AFC
Bhutan,BHU,AFC
Brunei Darussalam,BRU,AFC
Cambodia,CAM,AFC
China PR,CHN,AFC
Chinese Taipei,TPE,AFC
Guam,GUM,AFC
Hong Kong,HKG,AFC
India,IND,AFC
Indonesia,IDN,AFC
Iran,IRN,AFC
Iraq,IRQ,AFC
Japan,JPN,AFC
Jordan,JOR,AFC
Korea DPR,PRK,AFC
Korea Republic,KOR,AFC
Kuwait,KUW,AFC
Kyrgyzstan,KGZ,AFC
Laos,LAO,AFC
Lebanon,LIB,AFC
Macau,MAC,AFC
Malaysia,MAS,AFC
Maldives,MDV,AFC
Mongolia,MNG,AFC
Myanmar,MYA,AFC
Nepal,NEP,AFC
Northern Mariana Islands,NMI,AFC
Oman,OMA,AFC
Pakistan,PAK,AFC
Palestine,PLE,AFC
Philippines,PHI,AFC
Qatar,QAT,AFC
Saudi Arabia,KSA,AFC
Singapore,SIN,AFC
Sri Lanka,SRI,AFC
Syria,SYR,AFC
Tajikistan,TJK,AFC
Thailand,THA,AFC
Timor-Leste,TLS,AFC
Turkmenistan,TKM,AFC
United Arab Emirates,UAE,AFC
Uzbekistan,UZB,AFC
Vietnam,VIE,AFC
Yemen,YEM,AFC
Algeria,ALG,CAF
Angola,ANG,CAF
Benin,BEN,CAF
Botswana,BOT,CAF
Burkina Faso,BFA,CAF
Burundi,BDI,CAF
Cameroon,CMR,CAF
Cape Verde,CPV,CAF
Central African Republic,CTA,CAF
Chad,CHA,CAF
Comoros,COM,CAF
Congo,CGO,CAF
Congo DR,COD,CAF
Côte d'Ivoire,CIV,CAF
Djibouti,DJI,CAF
Egypt,EGY,CAF
Equatorial Guinea,EQG,CAF
Eritrea,ERI,CAF
Ethiopia,ETH,CAF
Gabon,GAB,CAF
Gambia,GAM,CAF
Ghana,GHA,CAF
Guinea,GUI,CAF
Guinea-Bissau,GNB,CAF
Kenya,KEN,CAF
Lesotho,LES,CAF
Liberia,LBR,CAF
Libya,LBY,CAF
Madagascar,MAD,CAF
Malawi,MWI,CAF
Mali,MLI,CAF
Mauritania,MTN,CAF
Mauritius,MRI,CAF
